arch,task,trial_number,value,learning_rate,weight_decay,pooling,use_numeric
bert,hibehrt_y_mort,21,0.20709563791751862,0.00048662317542022196,,,
bert,behrt_y_mort,18,0.18131163716316223,0.0004461816873784077,,,
bert,cehrbert_y_mort_1yr,14,0.24933280050754547,0.00016865029250575297,,,
bert,behrt_y_mort_1yr,12,0.25113174319267273,0.0004912898954059036,,,
bert,medbert_y_mort_1yr,21,0.2552400529384613,0.0004902023154003352,,,
bert,cehrbert_y_icu_readmit_30,14,0.1512514352798462,0.00019920650307188857,,,
bert,cehrbert_y_los_7,22,0.2865801453590393,0.00019697665170220692,,,
bert,medbert_y_icu_readmit_30,15,0.15033186972141266,0.00041421719718781857,,,
bert,medbert_y_los_7,8,0.30507487058639526,0.0004923507733633032,,,
bert,hibehrt_y_los_7,12,0.3179458975791931,0.0004924741293942472,,,
bert,y_los_7,20,0.30175575613975525,4.396646822811202e-05,0.004738192294308628,cls,True
bert,hibehrt_y_icu_readmit_30,12,0.1596442013978958,0.0004926639841371801,,,
bert,hibehrt_y_mort_1yr,21,0.27938422560691833,0.0004023888283350409,,,
bert,y_icu_readmit_30,4,0.15275849401950836,4.3037092427232387e-05,0.0067819602994546825,mean,True
bert,behrt_y_los_7,12,0.2906840443611145,0.0004937993814347803,,,
bert,cehrbert_y_mort,19,0.1733195036649704,0.00019749136179763444,,,
bert,y_mort_1yr,24,0.2670222818851471,4.941072140999903e-05,0.0012021417402238329,cls,False
bert,behrt_y_icu_readmit_30,24,0.1479659527540207,0.00044100031730061307,,,
bert,y_mort,12,0.18271544575691223,4.9936021100144775e-05,0.0015881429643435387,cls,False
bert,medbert_y_mort,11,0.19932939112186432,0.00039016674296722133,,,
big_bird,y_los_7,11,0.28047847747802734,4.9058938754714104e-05,0.00111423729240092,cls,False
big_bird,y_icu_readmit_30,3,0.1492381989955902,4.281630929230578e-05,0.0018808254438205316,cls,True
big_bird,y_mort_1yr,2,0.24706557393074036,4.224875273085131e-05,0.0021682655734662016,cls,False
big_bird,y_mort,1,0.17528116703033447,3.9428264013602914e-05,0.0014311249101715121,mean,False
descemb,bert-ft_y_mort,23,0.1679510772228241,1.2680316113283618e-05,,,
descemb,cls-ft_y_mort,4,0.19016404449939728,0.00030559392596897055,,,
descemb,bert-ft_y_mort_1yr,15,0.2561964988708496,0.0003264175745067122,,,
descemb,bert-ft_y_los_7,19,0.29166990518569946,7.324375729071893e-05,,,
descemb,cls-ft_y_icu_readmit_30,13,0.1553010195493698,0.00032944403884517856,,,
descemb,cls-ft_y_mort_1yr,12,0.257560133934021,0.0004999215308387666,,,
descemb,bert-ft_y_icu_readmit_30,9,0.1541414111852646,0.000279663010940686,,,
descemb,cls-ft_y_los_7,14,0.30710166692733765,0.00033196924547093757,,,
genhpf,bert-ft_y_icu_readmit_30,16,0.14951296150684357,8.503042590573027e-05,,,
genhpf,bert-ft_y_los_7,10,0.29279929399490356,1.5909736263598428e-05,,,
genhpf,bert-ft_y_mort,18,0.1655942052602768,9.95249896829538e-05,,,
genhpf,bert-ft_y_mort_1yr,17,0.24917533993721008,8.364430831843745e-05,,,
longformer,y_mort_1yr,13,0.2715175449848175,4.8492581820761114e-05,0.005928108108329818,cls,True
longformer,y_icu_readmit_30,17,0.15056727826595306,4.911022831290596e-05,0.00318867593704579,mean,False
longformer,y_mort,16,0.18286676704883575,4.928641624688893e-05,0.0038185209096803906,mean,False
longformer,y_los_7,9,0.2929820716381073,3.553562854170849e-05,0.0016298903184348663,mean,False
modernbert,y_icu_readmit_30,24,0.15989762544631958,4.965414934208573e-05,0.004600439197591982,cls,False
modernbert,y_mort_1yr,12,0.2668360769748688,4.9232258120094254e-05,0.0045373516348084595,cls,False
modernbert,y_mort,12,0.16771893203258514,4.991185967369894e-05,0.00280651791698827,mean,True
modernbert,y_los_7,2,0.28599777817726135,3.635301935897524e-05,0.007465128947404737,cls,False
remed,bert-ft_y_mort,7,0.2209499180316925,0.00022110114243348335,,,
remed,bert-ft_y_icu_readmit_30,5,0.15927018225193024,0.0006827342880425098,,,
remed,hparams-opt_y_los_7,22,0.32726311683654785,0.0004016913131031949,,,
remed,bert-ft_y_mort_1yr,22,0.2779466509819031,0.00015717220333558564,,,
roberta,y_icu_readmit_30,23,0.15021109580993652,4.980501139547036e-05,0.005218739523140813,cls,False
roberta,y_mort,14,0.17949797213077545,4.307875795961558e-05,0.00248352441303969,cls,True
roberta,y_los_7,11,0.30006667971611023,4.865383070435175e-05,0.001013603421157532,mean,True
roberta,y_mort_1yr,21,0.26407477259635925,3.444804025942915e-05,0.005106073237047838,cls,False
roformer,y_mort_1yr,11,0.24682316184043884,4.857522132861196e-05,0.001153701702346883,mean,False
roformer,y_icu_readmit_30,15,0.1489248424768448,4.9951479027580016e-05,0.00209279209330029,mean,True
roformer,y_los_7,15,0.27890002727508545,4.470126359191332e-05,0.001293509205889587,mean,True
roformer,y_mort,9,0.16975517570972443,4.520429955457872e-05,0.001011585796491121,cls,True
