,icd9_code,icd10_code,rank,reason
0,00589,A058,1,"This code covers other specified bacterial foodborne intoxications, which aligns closely with 'Other bacterial food poisoning'."
1,00589,A054,2,"This code is specific to Bacillus cereus intoxication, which is a type of bacterial food poisoning but does not encompass the broader category of 'Other bacterial food poisoning'."
2,00845,A0472,1,"This code describes enterocolitis due to Clostridium difficile without specifying recurrence, which aligns closely with the general description of an intestinal infection due to the same organism."
3,00845,A0471,2,"This code refers to recurrent enterocolitis due to Clostridium difficile. While still related, the recurrent specification makes it a less direct match compared to A0472."
4,01480,A1832,1,"Tuberculous enteritis is a specific type of intestinal tuberculosis, directly related to the ICD-9 description."
5,01480,A1839,2,Retroperitoneal tuberculosis is related but refers to a different anatomical location than the intestines or peritoneum.
6,01485,A1832,1,"Tuberculous enteritis is a specific type of intestinal tuberculosis, closely matching the ICD-9 description."
7,01485,A1839,2,Retroperitoneal tuberculosis may involve the intestines indirectly but is less specific to the intestinal site than A1832.
8,01730,A1850,1,"Exact match for tuberculosis of eye, unspecified."
9,01730,A1859,2,Other tuberculosis of eye is related but less specific than A1850.
10,01730,A1851,3,Tuberculous episcleritis is a specific type of tuberculosis of the eye.
11,01730,A1852,4,Tuberculous keratitis is a specific type of tuberculosis of the eye.
12,01730,A1853,5,Tuberculous chorioretinitis is a specific type of tuberculosis of the eye.
13,01730,A1854,6,Tuberculous iridocyclitis is a specific type of tuberculosis of the eye.
14,01792,A1889,1,"This code captures tuberculosis of other sites, which is the most general match for the unspecified organs mentioned in the ICD-9 description."
15,01792,A1884,2,"This code specifies tuberculosis of the heart, which is a specific site but not mentioned in the ICD-9 description. It is less relevant than A1889."
16,01796,A1889,1,"This code captures tuberculosis of unspecified or other sites, which aligns with 'other specified organs' in the ICD-9 description."
17,01796,A1884,2,"This code is specific to tuberculosis of the heart, which is a more specific site than 'other specified organs' and may not align as closely with the broader description."
18,0218,A218,1,"This code specifically corresponds to 'Other forms of tularemia,' which closely aligns with the ICD-9 description of 'Other specified tularemia.'"
19,0218,A217,2,"This code refers to 'Generalized tularemia,' which is more specific and does not encompass the broader category of 'Other specified tularemia.'"
20,025,A243,1,Specificity - 'Other melioidosis' provides a more specific classification of the condition.
21,025,A249,2,"Lacks specificity - 'Melioidosis, unspecified' is broader and less specific than the ICD-9 code."
22,0270,A329,1,"Listeriosis, unspecified is the most general and directly corresponds to the ICD-9 description of Listeriosis."
23,0270,A3289,2,"Other forms of listeriosis captures variations of the condition, aligning well with the general term Listeriosis."
24,0270,A3211,3,"Listerial meningitis is a specific manifestation of listeriosis, indicating a complication but still related."
25,0270,A3212,4,"Listerial meningoencephalitis is another specific manifestation of listeriosis, indicating a more severe complication."
26,0270,A327,5,"Listerial sepsis is a severe systemic manifestation of listeriosis, related but less directly to the general term."
27,0270,A3281,6,Oculoglandular listeriosis is a specific form but less common and more specialized compared to the general description.
28,03289,A3689,1,"This code captures other unspecified complications related to diphtheria, aligning closely with 'other specified diphtheria'."
29,03289,A3682,2,"This code specifies a complication of diphtheria related to radiculomyelitis, making it a relevant but more specific condition."
30,03289,A3683,3,"This code specifies a complication of diphtheria related to polyneuritis, relevant but more specific than 'other specified diphtheria'."
31,03289,A3684,4,"This code specifies a complication related to the kidneys (tubulo-interstitial nephropathy) due to diphtheria, which is very specific and not as broadly relevant."
32,0340,J020,1,"Streptococcal pharyngitis is a direct match for streptococcal sore throat, indicating the specific condition."
33,0340,J0300,2,"Acute streptococcal tonsillitis, unspecified is related but refers specifically to tonsillitis rather than pharyngitis, making it a less precise match."
34,0398,A4289,1,"This code represents 'Other forms of actinomycosis,' which aligns closely with the unspecified nature of the ICD-9 description."
35,0398,A4281,2,"Actinomycotic meningitis is a specific form of actinomycosis, making it a relevant but more specific match than the ICD-9 description."
36,0398,A4282,3,"Actinomycotic encephalitis is another specific form of actinomycosis, relevant but more specific compared to the ICD-9 description."
37,0398,A438,4,"Nocardiosis is a different type of infection that is not synonymous with actinomycosis, thus it is the least relevant match."
38,04149,B9629,1,matches 'Other Escherichia coli [E. coli]'
39,04149,B9620,2,matches 'Unspecified Escherichia coli [E. coli]'
40,04181,A493,1,"Directly corresponds to mycoplasma infection with unspecified site, aligning well with the ICD-9 description."
41,04181,B960,2,"While related to mycoplasma, it specifically refers to pneumonia caused by M. pneumoniae, which is a more specific condition than the general bacterial infection described in ICD-9."
42,04619,A8100,1,Exact match for unspecified Creutzfeldt-Jakob disease.
43,04619,A8109,2,"Matches 'Other' category of Creutzfeldt-Jakob disease, but is less specific than the first."
44,0498,A858,1,"Specific to viral encephalitis, matching the broader category of viral diseases affecting the central nervous system."
45,0498,A888,2,"Covers other specified viral infections of the central nervous system, closely related to the description of non-arthropod-borne viral diseases."
46,0498,A850,3,"Specific to enteroviral encephalitis; while it is a viral disease affecting the CNS, it is less general than the 'other specified' category."
47,0498,A851,4,"Specific to adenoviral encephalitis; similar to A850, it is a specific type of viral disease affecting the CNS but less aligned with the 'other specified' aspect."
48,0499,A89,1,"This code specifically addresses unspecified viral infections of the central nervous system, closely matching the description of unspecified non-arthropod-borne viral diseases."
49,0499,A86,2,"While this code refers to unspecified viral encephalitis, it is more specific than the broader category of viral infections of the central nervous system and therefore ranks lower."
50,0527,B0189,1,"Directly corresponds to 'other varicella complications', matching the ICD-9 description."
51,0527,B010,2,Specific complication (meningitis) related to chickenpox but not a general 'other' complication.
52,0527,B0181,3,Specific complication (keratitis) related to chickenpox but does not match the 'other specified complications' aspect.
53,0578,B09,1,"This code captures unspecified viral infections with skin lesions, which aligns closely with 'other specified viral exanthemata'."
54,0578,L444,2,"While related to a viral infection with skin manifestations, it refers specifically to Gianotti-Crosti syndrome, making it less general than the original description."
55,0654,A91,1,"Dengue hemorrhagic fever is a specific type of mosquito-borne hemorrhagic fever, making it a direct match."
56,0654,A920,2,"Chikungunya virus disease is also mosquito-borne but does not typically present as a hemorrhagic fever, making it a less specific match."
57,0663,A928,1,Other specified mosquito-borne viral fevers; directly aligns with 'other' category.
58,0663,A920,2,Chikungunya virus disease; a specific type of mosquito-borne fever.
59,0663,A921,3,O'nyong-nyong fever; another specific mosquito-borne fever.
60,0663,A924,4,Rift Valley fever; also a recognized mosquito-borne fever.
61,0663,A925,5,Zika virus disease; a specific type of mosquito-borne illness.
62,0663,A930,6,Oropouche virus disease; related to mosquito-borne illnesses but less commonly recognized.
63,0663,B331,7,Ross River disease; a mosquito-borne disease but not as directly related to the category of 'fever.'
64,07020,B162,1,"Directly matches the description of acute hepatitis B with hepatic coma, aligning with the ICD-9 code."
65,07020,B1911,2,"Matches the unspecified nature of the hepatitis B with hepatic coma, but lacks the specificity of 'acute'."
66,07030,B169,1,"Directly corresponds to acute hepatitis B without delta-agent and without hepatic coma, matching the specificity of the ICD-9 description."
67,07030,B1910,2,"Describes unspecified viral hepatitis B without hepatic coma, which is less specific than the first option but still relates to viral hepatitis B."
68,07059,B178,1,"Other specified acute viral hepatitis is closely related to 'Other specified viral hepatitis' as both pertain to unspecified viral hepatitis types, though the ICD-9 indicates absence of coma."
69,07059,B188,2,"Other chronic viral hepatitis is a relevant match because it refers to another type of unspecified viral hepatitis, differing mainly in the chronicity aspect."
70,07059,B189,3,"Chronic viral hepatitis, unspecified is the least specific match as it does not specify the type of viral hepatitis and does not align with the acute aspect suggested by the ICD-9 description."
71,07798,A740,1,"directly corresponds to chlamydial conjunctivitis, which is a specific disease of the conjunctiva due to chlamydiae."
72,07798,A7489,2,"refers to other chlamydial diseases but does not specify conjunctival involvement, making it less relevant."
