icd9_code,icd10_code,rank,reason
9,6A750Z7,1,"Root Operation 'Therapy' matches. 'Ultrasound' is the method. 'Other Vessels' aligns with 'Other' in the ICD-9 description, suggesting a non-specific target. 'Single' is a plausible qualifier."
9,6A750ZZ,2,"Root Operation 'Therapy' matches. 'Ultrasound' is the method. 'Circulatory' is a possible interpretation of 'Other' in ICD-9, representing a system rather than a specific part. 'Single' is a plausible qualifier."
9,6A751Z7,3,"Root Operation 'Therapy' matches. 'Ultrasound' is the method. 'Other Vessels' aligns with 'Other' in the ICD-9 description. 'Multiple' is a plausible qualifier, though 'Single' is often the default."
9,6A751ZZ,4,Root Operation 'Therapy' matches. 'Ultrasound' is the method. 'Circulatory' is a possible interpretation of 'Other' in ICD-9. 'Multiple' is a plausible qualifier.
9,6A930ZZ,5,"Root Operation 'Therapy' matches, but the method is 'Shock Wave Therapy', not 'Ultrasound'. 'Musculoskeletal' is a possible interpretation of 'Other', but the method mismatch is significant."
9,6A931ZZ,6,"Root Operation 'Therapy' matches, but the method is 'Shock Wave Therapy', not 'Ultrasound'. 'Musculoskeletal' is a possible interpretation of 'Other', but the method mismatch is significant."
11,3E03016,1,"The ICD-9 code specifies an 'infusion', which implies introduction into a vessel. 'Drotrecogin alfa (activated)' is a recombinant protein C. The ICD-10 code '3E03016' describes the 'Introduction of Recomb Protein C' into a 'Periph Vein' via an 'Open' approach, aligning well with the semantics of infusion into a peripheral vein."
11,3E03316,2,"Similar to 3E03016, this code represents the introduction of Recomb Protein C into a peripheral vein. The 'Perc' (Percutaneous) approach is a plausible method for infusion, though 'Open' (3E03016) might be slightly more general for 'infusion'."
11,3E04016,3,"This code involves the introduction of Recomb Protein C into a 'Central Vein' via an 'Open' approach. While infusion can occur in central veins, the ICD-9 code doesn't specify the location (peripheral vs. central), making this less specific than the peripheral vein options."
11,3E04316,4,"Similar to 3E04016, this involves a 'Central Vein' but uses a 'Perc' approach. Less specific than peripheral vein options due to unspecified location in the ICD-9 code."
11,3E05016,5,"This code describes introduction into a 'Periph Art' (Peripheral Artery). Infusion typically occurs into veins, not arteries. This is semantically incorrect."
11,3E05316,6,"Similar to 3E05016, this involves a 'Periph Art' with a 'Perc' approach. Incorrect body part (artery) for an infusion."
11,3E06016,7,This code describes introduction into a 'Central Art' (Central Artery). Incorrect body part (artery) for an infusion.
11,3E06316,8,"Similar to 3E06016, this involves a 'Central Art' with a 'Perc' approach. Incorrect body part (artery) for an infusion."
11,3E07016,9,This code describes introduction into a 'Coronary Art' (Coronary Artery). Incorrect body part (artery) for an infusion.
11,3E07316,10,"Similar to 3E07016, this involves a 'Coronary Art' with a 'Perc' approach. Incorrect body part (artery) for an infusion."
11,3E08016,11,"This code describes introduction into the 'Heart' itself. Infusion is typically into a vessel, not directly into the heart muscle/chambers, making this semantically incorrect."
11,3E08316,12,"Similar to 3E08016, this involves introduction into the 'Heart' with a 'Perc' approach. Incorrect body part for an infusion."
13,3E030VH,1,"Nesiritide is a B-type natriuretic peptide. The root operation 'Introduce' matches 'Injection or infusion'. The body part 'Periph Vein' is a plausible site for injection/infusion, and 'Open' approach is standard for IV injections. The device 'Human B-type Peptide' directly maps to nesiritide."
13,3E033VH,2,"Similar to 3E030VH, 'Introduce' matches 'Injection or infusion', 'Human B-type Peptide' maps to nesiritide. 'Periph Vein' is plausible. 'Perc' (Percutaneous) approach is less common for standard IV infusion but possible."
13,3E040VH,3,"Similar to 3E030VH, 'Introduce' matches 'Injection or infusion', 'Human B-type Peptide' maps to nesiritide. 'Central Vein' is a plausible site for infusion, and 'Open' approach is standard."
13,3E043VH,4,"Similar to 3E030VH, 'Introduce' matches 'Injection or infusion', 'Human B-type Peptide' maps to nesiritide. 'Central Vein' is a plausible site. 'Perc' (Percutaneous) approach is less common for standard IV infusion but possible."
13,3E050VH,5,"Similar to 3E030VH, 'Introduce' matches 'Injection or infusion', 'Human B-type Peptide' maps to nesiritide. 'Periph Art' (Peripheral Artery) is not a typical site for nesiritide infusion."
13,3E053VH,6,"Similar to 3E030VH, 'Introduce' matches 'Injection or infusion', 'Human B-type Peptide' maps to nesiritide. 'Periph Art' (Peripheral Artery) is not a typical site for nesiritide infusion. 'Perc' approach is less common."
13,3E060VH,7,"Similar to 3E030VH, 'Introduce' matches 'Injection or infusion', 'Human B-type Peptide' maps to nesiritide. 'Central Art' (Central Artery) is not a typical site for nesiritide infusion."
13,3E063VH,8,"Similar to 3E030VH, 'Introduce' matches 'Injection or infusion', 'Human B-type Peptide' maps to nesiritide. 'Central Art' (Central Artery) is not a typical site for nesiritide infusion. 'Perc' approach is less common."
15,3E03002,1,"The ICD-9 code describes an infusion, which aligns semantically with the 'Introduce' root operation in ICD-10-PCS. 'High-dose infusion interleukin-2' implies administration into a blood vessel. 'Periph Vein' (Peripheral Vein) is the most common site for intravenous infusions, making this the best semantic match among the venous options."
15,3E03302,2,"Similar to rank 1, this code uses the appropriate 'Introduce' root operation and 'High dose IL-2'. The 'Perc Approach' (Percutaneous Approach) is a plausible method for venous access, although 'Open Approach' (rank 1) is often implied by 'infusion' unless specified otherwise. Still a strong candidate."
15,3E04002,3,"This code uses the correct 'Introduce' root operation and 'High dose IL-2'. Administration into a 'Central Vein' is possible for infusions, but typically reserved for specific clinical situations (e.g., PICC line, central venous catheter). Peripheral vein is more general for standard infusions."
15,3E04302,4,"Similar to rank 3, this code uses the correct 'Introduce' root operation and 'High dose IL-2'. 'Central Vein' is a possible site, and 'Perc Approach' is a valid access method for central veins."
15,3E05002,5,"This code uses the correct 'Introduce' root operation and 'High dose IL-2', but incorrectly specifies an 'Artery' (Periph Art) as the body part. Infusions are typically administered into veins, not arteries."
15,3E05302,6,"Similar to rank 5, this code uses the correct 'Introduce' root operation and 'High dose IL-2', but incorrectly specifies an 'Artery' (Periph Art) as the body part."
15,3E06002,7,"This code uses the correct 'Introduce' root operation and 'High dose IL-2', but incorrectly specifies a 'Central Artery' as the body part. Infusions are typically administered into veins, not arteries."
15,3E06302,8,"Similar to rank 7, this code uses the correct 'Introduce' root operation and 'High dose IL-2', but incorrectly specifies a 'Central Artery' as the body part."
15,3E0R302,9,"This code uses the correct 'Introduce' root operation and 'High dose IL-2', but incorrectly specifies the 'Spinal Canal' as the body part. Infusions are typically administered into blood vessels."
15,3E0S302,10,"This code uses the correct 'Introduce' root operation and 'High dose IL-2', but incorrectly specifies the 'Epidural Space' as the body part. Infusions are typically administered into blood vessels."
17,3E030XZ,1,"Matches 'Infusion' with 'Introduction' (Root Operation), 'vasopressor agent' with 'Vasopressor', and implies venous access which is common for infusion, using 'Periph Vein' (Body Part) and 'Open Approach' (Approach)."
17,3E033XZ,2,"Matches 'Infusion' with 'Introduction' (Root Operation), 'vasopressor agent' with 'Vasopressor', and implies venous access which is common for infusion, using 'Periph Vein' (Body Part) and 'Perc Approach' (Approach)."
17,3E040XZ,3,"Matches 'Infusion' with 'Introduction' (Root Operation), 'vasopressor agent' with 'Vasopressor', and implies venous access which is common for infusion, using 'Central Vein' (Body Part) and 'Open Approach' (Approach)."
17,3E043XZ,4,"Matches 'Infusion' with 'Introduction' (Root Operation), 'vasopressor agent' with 'Vasopressor', and implies venous access which is common for infusion, using 'Central Vein' (Body Part) and 'Perc Approach' (Approach)."
17,3E050XZ,5,"Matches 'Infusion' with 'Introduction' (Root Operation), 'vasopressor agent' with 'Vasopressor', but uses 'Periph Art' (Body Part) which is less common for vasopressor infusion than venous access."
17,3E053XZ,6,"Matches 'Infusion' with 'Introduction' (Root Operation), 'vasopressor agent' with 'Vasopressor', but uses 'Periph Art' (Body Part) which is less common for vasopressor infusion than venous access."
17,3E060XZ,7,"Matches 'Infusion' with 'Introduction' (Root Operation), 'vasopressor agent' with 'Vasopressor', but uses 'Central Art' (Body Part) which is less common for vasopressor infusion than venous access."
17,3E063XZ,8,"Matches 'Infusion' with 'Introduction' (Root Operation), 'vasopressor agent' with 'Vasopressor', but uses 'Central Art' (Body Part) which is less common for vasopressor infusion than venous access."
