icd9_code,icd10_code,rank,reason
9,6A750Z7,1,Best match for 'Other therapeutic ultrasound' as it specifies ultrasound therapy of 'Other Vessels' and indicates a single treatment.
9,6A750ZZ,2,Also matches 'Other therapeutic ultrasound' but is less specific as it refers to circulatory vessels without specifying if they are 'other'.
9,6A751Z7,3,"Similar to 6A750Z7 but indicates 'Multiple' treatments, which may not be the intended meaning of 'Other therapeutic ultrasound'."
9,6A751ZZ,4,"Similar to 6A750ZZ but indicates 'Multiple' treatments, which may not align with the intent of 'Other therapeutic ultrasound'."
9,6A930ZZ,5,"Shock wave therapy may be considered a type of therapeutic ultrasound, but it is specifically for musculoskeletal issues, making it less relevant."
9,6A931ZZ,6,"Similar to 6A930ZZ but indicates 'Multiple' treatments, which further distances it from the primary focus of 'Other therapeutic ultrasound'."
11,3E03016,1,Matches the procedure of infusion into a peripheral vein using an open approach.
11,3E03316,2,Matches the procedure of infusion into a peripheral vein using a percutaneous approach.
11,3E04016,3,Matches the procedure of infusion into a central vein using an open approach.
11,3E04316,4,Matches the procedure of infusion into a central vein using a percutaneous approach.
11,3E05016,5,Infusion into a peripheral artery using an open approach is related but not the primary procedure.
11,3E05316,6,Infusion into a peripheral artery using a percutaneous approach is related but not the primary procedure.
11,3E06016,7,Infusion into a central artery using an open approach is related but not the primary procedure.
11,3E06316,8,Infusion into a central artery using a percutaneous approach is related but not the primary procedure.
11,3E07016,9,Infusion into a coronary artery using an open approach is related but not the primary procedure.
11,3E07316,10,Infusion into a coronary artery using a percutaneous approach is related but not the primary procedure.
11,3E08016,11,Infusion into the heart using an open approach is related but not the primary procedure.
11,3E08316,12,Infusion into the heart using a percutaneous approach is related but not the primary procedure.
13,3E030VH,1,"Directly corresponds to infusion of nesiritide into a peripheral vein, which aligns with the procedure description."
13,3E033VH,2,"Corresponds to infusion of nesiritide into a peripheral vein via percutaneous approach, relevant to the procedure."
13,3E040VH,3,"Relates to infusion of nesiritide into a central vein via open approach, applicable to the procedure."
13,3E043VH,4,"Infusion of nesiritide into a central vein via percutaneous approach, relevant to the procedure."
13,3E050VH,5,"Infusion into a peripheral artery is not a typical site for nesiritide injection, making it less relevant."
13,3E053VH,6,"Infusion into a peripheral artery via percutaneous approach is not standard for nesiritide, making it less relevant."
13,3E060VH,7,"Infusion into a central artery is not appropriate for nesiritide, leading to a lower relevance."
13,3E063VH,8,Infusion into a central artery via percutaneous approach does not align with the nesiritide procedure.
15,3E03002,1,Directly matches the procedure of introducing high-dose IL-2 into a peripheral vein via an open approach.
15,3E03302,2,Matches the procedure of introducing high-dose IL-2 into a peripheral vein via a percutaneous approach.
15,3E04002,3,Matches the procedure of introducing high-dose IL-2 into a central vein via an open approach.
15,3E04302,4,Matches the procedure of introducing high-dose IL-2 into a central vein via a percutaneous approach.
15,3E05002,5,"Introduces high-dose IL-2 into a peripheral artery via an open approach, which is less relevant than vein access."
15,3E05302,6,"Introduces high-dose IL-2 into a peripheral artery via a percutaneous approach, less relevant than vein access."
15,3E06002,7,"Introduces high-dose IL-2 into a central artery via an open approach, less relevant than vein access."
15,3E06302,8,"Introduces high-dose IL-2 into a central artery via a percutaneous approach, less relevant than vein access."
15,3E0R302,9,"Introduces high-dose IL-2 into the spinal canal via a percutaneous approach, which does not match the vein context."
15,3E0S302,10,"Introduces high-dose IL-2 into the epidural space via a percutaneous approach, which does not match the vein context."
17,3E030XZ,1,Best match for infusion of vasopressor agent into peripheral vein via open approach.
17,3E033XZ,2,Match for infusion of vasopressor agent into peripheral vein via percutaneous approach.
17,3E040XZ,3,Match for infusion of vasopressor agent into central vein via open approach.
17,3E043XZ,4,Match for infusion of vasopressor agent into central vein via percutaneous approach.
17,3E050XZ,5,"Infusion into peripheral artery, but less relevant than vein options."
17,3E053XZ,6,"Infusion into peripheral artery via percutaneous approach, less relevant than vein options."
17,3E060XZ,7,"Infusion into central artery, but less relevant than vein options."
17,3E063XZ,8,"Infusion into central artery via percutaneous approach, least relevant to the original procedure."
21,B345ZZ3,1,Ultrasonography of Bi Com Carotid vessels is most aligned with imaging of extracranial cerebral vessels.
21,B343ZZ3,2,Ultrasonography of Right Common Carotid Artery is relevant as it is part of the extracranial cerebral vessels.
21,B344ZZ3,3,Ultrasonography of Left Common Carotid Artery is relevant as it is part of the extracranial cerebral vessels.
21,B346ZZ3,4,Ultrasonography of Right Internal Carotid Artery is relevant as it is part of the extracranial cerebral vessels.
21,B347ZZ3,5,Ultrasonography of Left Internal Carotid Artery is relevant as it is part of the extracranial cerebral vessels.
21,B348ZZ3,6,"Ultrasonography of Bi Int Carotid is relevant as it relates to the internal carotid arteries, part of the extracranial cerebral vessels."
22,B340ZZ3,1,"Directly relates to intrathoracic vessels, specifically the thoracic aorta."
22,B341ZZ3,2,"Pertains to the right brachiocephalic artery, which is part of the intrathoracic vascular system."
22,B342ZZ3,3,"Involves the left subclavian artery, relevant to intrathoracic vessels."
22,B34SZZ3,4,"Related to the right pulmonary artery, a vessel located within the thorax."
22,B34TZZ3,5,"Related to the left pulmonary artery, also within the thoracic cavity."
22,B546ZZ3,6,"Involves the right subclavian vein, relevant to the intrathoracic vascular system."
22,B547ZZ3,7,"Involves the left subclavian vein, relevant to the intrathoracic vascular system."
22,B548ZZ3,8,"Involves the superior vena cava, a significant intrathoracic vessel."
22,B549ZZ3,9,"Involves the inferior vena cava, also significant to intrathoracic vessels."
22,B24BZZ3,10,Ultrasonography of the heart with aorta is less specific to intrathoracic vessels than others.
22,B24CZZ3,11,Ultrasonography of the pericardium is less directly related to intrathoracic vessels compared to others.
23,B34HZZ3,1,"Ultrasonography specifically targets the right upper extremity arteries, aligning with the concept of intravascular imaging of peripheral vessels."
23,B34JZZ3,2,"Ultrasonography specifically targets the left upper extremity arteries, aligning with the concept of intravascular imaging of peripheral vessels."
23,B34KZZ3,3,"Ultrasonography targets both upper extremity arteries, aligning with the concept of intravascular imaging of peripheral vessels."
23,B44FZZ3,4,"Ultrasonography specifically targets the right lower extremity arteries, aligning with the concept of intravascular imaging of peripheral vessels."
23,B44GZZ3,5,"Ultrasonography specifically targets the left lower extremity arteries, aligning with the concept of intravascular imaging of peripheral vessels."
23,B44HZZ3,6,"Ultrasonography targets both lower extremity arteries, aligning with the concept of intravascular imaging of peripheral vessels."
23,B44LZZ3,7,"Ultrasonography specifically targets the femoral artery, which is part of the peripheral vascular system, aligning with the concept of intravascular imaging."
23,B54BZZ3,8,"Ultrasonography targets the right lower extremity veins; while it’s not arteries, it still pertains to peripheral vascular imaging."
23,B54CZZ3,9,"Ultrasonography targets the left lower extremity veins; while it’s not arteries, it still pertains to peripheral vascular imaging."
23,B54DZZ3,10,"Ultrasonography targets both lower extremity veins; while it’s not arteries, it still pertains to peripheral vascular imaging."
23,B54MZZ3,11,"Ultrasonography targets the right upper extremity veins; while it’s not arteries, it still pertains to peripheral vascular imaging."
23,B54NZZ3,12,"Ultrasonography targets the left upper extremity veins; while it’s not arteries, it still pertains to peripheral vascular imaging."
23,B54PZZ3,13,"Ultrasonography targets both upper extremity veins; while it’s not arteries, it still pertains to peripheral vascular imaging."
24,B240ZZ3,1,Directly matches the procedure of intravascular imaging of a single coronary artery.
24,B241ZZ3,2,"Involves intravascular imaging but for multiple coronary arteries, which is related to the original procedure."
24,B244ZZ3,3,"While it focuses on the right heart, it is still related to intravascular imaging, albeit not specifically coronary."
24,B245ZZ3,4,"Similar to B244ZZ3, but focuses on the left heart, still related to intravascular imaging."
24,B246ZZ3,5,"Involves imaging of both sides of the heart, still related to the broader context of intravascular imaging."
24,B24DZZ3,6,"Focuses on pediatric heart imaging, which is less relevant to the original procedure description."
28,B44BZZ3,1,"Ultrasonography of Other Intra-Abdominal Arteries, Intravasc matches the general category of 'other specified vessel(s)'."
28,B440ZZ3,2,"Ultrasonography of Abdominal Aorta, Intravascular is a specific vessel within the abdominal region."
28,B444ZZ3,3,"Ultrasonography of Superior Mesenteric Artery, Intravascular is a specific vessel that can be included in 'other specified vessel(s)'."
28,B445ZZ3,4,"Ultrasonography of Inferior Mesenteric Artery, Intravascular is also a specific vessel related to the abdominal region."
28,B44KZZ3,5,"Ultrasonography of Celiac and Mesenteric Arteries, Intravasc is related to specified vessels in the abdominal area."
28,B34RZZ3,6,"Ultrasonography of Intracranial Arteries, Intravascular is a specific vessel but may not fit as closely to 'other specified vessel(s)'."
28,B34VZZ3,7,"Ultrasonography of Ophthalmic Arteries, Intravascular is a specific vessel but is less related to the 'other specified vessel(s)'."
28,B44NZZ3,8,"Ultrasonography of Penile Arteries, Intravascular is a specific vessel but is less related to the 'other specified vessel(s)'."
28,B543ZZ3,9,"Ultrasonography of Right Jugular Veins, Intravascular is a specific vessel but is less related to the 'other specified vessel(s)'."
28,B544ZZ3,10,"Ultrasonography of Left Jugular Veins, Intravascular is a specific vessel but is less related to the 'other specified vessel(s)'."
28,B54TZZ3,11,"Ultrasonography of Portal and Splanchnic Veins, Intravasc is a specific vessel but is less related to the 'other specified vessel(s)'."
31,8E09XBG,1,Direct match for computer assisted procedure with CT in the head and neck region.
31,8E0WXBG,2,"Relevant to computer assisted surgery with CT in the trunk region, but not as specific as head and neck."
31,8E0XXBG,3,"Relevant to computer assisted surgery with CT in the upper extremity, but less related to the original context."
31,8E0YXBG,4,"Relevant to computer assisted surgery with CT in the lower extremity, but less related to the original context."
31,01810ZZ,5,Involves division of cervical nerve but not specifically related to computer-assisted surgery.
31,01813ZZ,6,Involves division of cervical nerve with a percutaneous approach but not related to computer-assisted surgery.
31,01814ZZ,7,Involves division of cervical nerve with a percutaneous endoscopic approach but not related to computer-assisted surgery.
31,01880ZZ,8,Involves division of thoracic nerve but not specifically related to computer-assisted surgery.
31,01883ZZ,9,Involves division of thoracic nerve with a percutaneous approach but not related to computer-assisted surgery.
31,01884ZZ,10,Involves division of thoracic nerve with a percutaneous endoscopic approach but not related to computer-assisted surgery.
31,018B0ZZ,11,Involves division of lumbar nerve but not specifically related to computer-assisted surgery.
31,018B3ZZ,12,Involves division of lumbar nerve with a percutaneous approach but not related to computer-assisted surgery.
31,018B4ZZ,13,Involves division of lumbar nerve with a percutaneous endoscopic approach but not related to computer-assisted surgery.
31,018R0ZZ,14,Involves division of sacral nerve but not specifically related to computer-assisted surgery.
31,018R3ZZ,15,Involves division of sacral nerve with a percutaneous approach but not related to computer-assisted surgery.
31,018R4ZZ,16,Involves division of sacral nerve with a percutaneous endoscopic approach but not related to computer-assisted surgery.
32,8E09XBH,1,"This code specifically refers to a computer-assisted procedure in the head and neck region, which is a relevant anatomical area for procedures that may involve MR/MRA."
32,8E0WXBH,2,"This code pertains to computer-assisted procedures in the trunk region, which can also be relevant for MR/MRA procedures, though it is less specific than the head and neck."
32,8E0XXBH,3,"This code relates to computer-assisted procedures of the upper extremity, which might be applicable but is less relevant to the typical use of MR/MRA compared to the head and trunk."
32,8E0YXBH,4,"This code involves computer-assisted procedures of the lower extremity, which is the least relevant area for MR/MRA in comparison to the other options."
33,8E09XBF,1,Best match for head and neck procedures using computer assistance and fluoroscopy.
33,8E0WXBF,2,Good match for trunk region procedures using computer assistance and fluoroscopy.
33,8E0XXBF,3,Relevant for upper extremity procedures with computer assistance and fluoroscopy.
33,8E0YXBF,4,Applicable for lower extremity procedures with computer assistance and fluoroscopy.
39,8E09XBZ,1,"Computer assisted procedure specifically in the head and neck region, aligning with the general concept of 'other computer assisted surgery'."
39,8E0WXBZ,2,"Computer assisted procedure in the trunk region, which is a significant area for surgical interventions, making it relevant to the ICD-9 description."
39,8E0XXBZ,3,"Computer assisted procedure of the upper extremity, still relevant to the broader category of computer assisted surgery."
39,8E0YXBZ,4,"Computer assisted procedure of the lower extremity; while relevant, it is less prioritized than the other codes due to the nature of the specified body parts."
56,02HK00Z,1,Directly matches the procedure of inserting a pressure sensor with an open approach in the right ventricle.
56,02HK30Z,2,Matches the procedure of inserting a pressure sensor but uses a percutaneous approach.
56,02HK40Z,3,Matches the procedure of inserting a pressure sensor with a percutaneous endoscopic approach.
56,02HK02Z,4,"Involves the insertion of a monitor device, which is related but not specifically a pressure sensor."
56,02HK42Z,5,"Involves inserting a monitor device using a percutaneous endoscopic approach, which is less specific than the pressure sensor."
57,0JH600Z,1,"This code matches the procedure of implantation of a hemodynamic monitoring device in the chest using an open approach, closely aligning with the ICD-9 description."
57,0JH630Z,2,"This code corresponds to the implantation of a hemodynamic monitoring device in the chest using a percutaneous approach, which is also relevant to the ICD-9 procedure."
57,0JH800Z,3,"This code represents the insertion of a hemodynamic monitoring device in the abdomen using an open approach. While the body part is different, the procedure type is similar."
57,0JH830Z,4,"This code indicates the insertion of a hemodynamic monitoring device in the abdomen using a percutaneous approach. Although it relates to the same type of device, the different body part reduces its relevance."
58,04H002Z,1,"Best match for insertion of a monitoring device into the abdominal aorta, open approach."
58,04H032Z,2,"Insertion of a monitoring device into the abdominal aorta, percutaneous approach is a close match."
58,04H042Z,3,"Insertion of a monitoring device into the abdominal aorta, percutaneous endoscopic approach is relevant."
58,02HW00Z,4,"Insertion of pressure sensor into the thoracic aorta descending, open approach is somewhat relevant."
58,02HW30Z,5,"Insertion of pressure sensor into the thoracic aorta descending, percutaneous approach is a possible match."
