Order2018	POAexemptCode	Description
01225	B90.0	Sequelae of central nervous system tuberculosis
01226	B90.1	Sequelae of genitourinary tuberculosis
01227	B90.2	Sequelae of tuberculosis of bones and joints
01228	B90.8	Sequelae of tuberculosis of other organs
01229	B90.9	Sequelae of respiratory and unspecified tuberculosis
01230	B91	Sequelae of poliomyelitis
01231	B92	Sequelae of leprosy
01233	B94.0	Sequelae of trachoma
01234	B94.1	Sequelae of viral encephalitis
01235	B94.2	Sequelae of viral hepatitis
01236	B94.8	Sequelae of other specified infectious and parasitic diseases
01237	B94.9	Sequelae of unspecified infectious and parasitic disease
04477	E64.0	Sequelae of protein-calorie malnutrition
04478	E64.1	Sequelae of vitamin A deficiency
04479	E64.2	Sequelae of vitamin C deficiency
04480	E64.3	Sequelae of rickets
04481	E64.8	Sequelae of other nutritional deficiencies
04482	E64.9	Sequelae of unspecified nutritional deficiency
10913	I25.2	Old myocardial infarction
11370	I69.00	Unspecified sequelae of nontraumatic subarachnoid hemorrhage
11372	I69.010	Attention and concentration deficit following nontraumatic subarachnoid hemorrhage
11373	I69.011	Memory deficit following nontraumatic subarachnoid hemorrhage
11374	I69.012	Visuospatial deficit and spatial neglect following nontraumatic subarachnoid hemorrhage
11375	I69.013	Psychomotor deficit following nontraumatic subarachnoid hemorrhage
11376	I69.014	Frontal lobe and executive function deficit following nontraumatic subarachnoid hemorrhage
11377	I69.015	Cognitive social or emotional deficit following nontraumatic subarachnoid hemorrhage
11378	I69.018	Other symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
11379	I69.019	Unspecified symptoms and signs involving cognitive functions following nontraumatic subarachnoid hemorrhage
11381	I69.020	Aphasia following nontraumatic subarachnoid hemorrhage
11382	I69.021	Dysphasia following nontraumatic subarachnoid hemorrhage
11383	I69.022	Dysarthria following nontraumatic subarachnoid hemorrhage
11384	I69.023	Fluency disorder following nontraumatic subarachnoid hemorrhage
11385	I69.028	Other speech and language deficits following nontraumatic subarachnoid hemorrhage
11387	I69.031	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
11388	I69.032	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
11389	I69.033	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11390	I69.034	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11391	I69.039	Monoplegia of upper limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
11393	I69.041	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right dominant side
11394	I69.042	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left dominant side
11395	I69.043	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11396	I69.044	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11397	I69.049	Monoplegia of lower limb following nontraumatic subarachnoid hemorrhage affecting unspecified side
11399	I69.051	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right dominant side
11400	I69.052	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left dominant side
11401	I69.053	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11402	I69.054	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11403	I69.059	Hemiplegia and hemiparesis following nontraumatic subarachnoid hemorrhage affecting unspecified side
11405	I69.061	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right dominant side
11406	I69.062	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left dominant side
11407	I69.063	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting right non-dominant side
11408	I69.064	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting left non-dominant side
11409	I69.065	"Other paralytic syndrome following nontraumatic subarachnoid hemorrhage, bilateral"
11410	I69.069	Other paralytic syndrome following nontraumatic subarachnoid hemorrhage affecting unspecified side
11412	I69.090	Apraxia following nontraumatic subarachnoid hemorrhage
11413	I69.091	Dysphagia following nontraumatic subarachnoid hemorrhage
11414	I69.092	Facial weakness following nontraumatic subarachnoid hemorrhage
11415	I69.093	Ataxia following nontraumatic subarachnoid hemorrhage
11416	I69.098	Other sequelae following nontraumatic subarachnoid hemorrhage
11418	I69.10	Unspecified sequelae of nontraumatic intracerebral hemorrhage
11420	I69.110	Attention and concentration deficit following nontraumatic intracerebral hemorrhage
11421	I69.111	Memory deficit following nontraumatic intracerebral hemorrhage
11422	I69.112	Visuospatial deficit and spatial neglect following nontraumatic intracerebral hemorrhage
11423	I69.113	Psychomotor deficit following nontraumatic intracerebral hemorrhage
11424	I69.114	Frontal lobe and executive function deficit following nontraumatic intracerebral hemorrhage
11425	I69.115	Cognitive social or emotional deficit following nontraumatic intracerebral hemorrhage
11426	I69.118	Other symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
11427	I69.119	Unspecified symptoms and signs involving cognitive functions following nontraumatic intracerebral hemorrhage
11429	I69.120	Aphasia following nontraumatic intracerebral hemorrhage
11430	I69.121	Dysphasia following nontraumatic intracerebral hemorrhage
11431	I69.122	Dysarthria following nontraumatic intracerebral hemorrhage
11432	I69.123	Fluency disorder following nontraumatic intracerebral hemorrhage
11433	I69.128	Other speech and language deficits following nontraumatic intracerebral hemorrhage
11435	I69.131	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right dominant side
11436	I69.132	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left dominant side
11437	I69.133	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11438	I69.134	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11439	I69.139	Monoplegia of upper limb following nontraumatic intracerebral hemorrhage affecting unspecified side
11441	I69.141	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right dominant side
11442	I69.142	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left dominant side
11443	I69.143	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11444	I69.144	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11445	I69.149	Monoplegia of lower limb following nontraumatic intracerebral hemorrhage affecting unspecified side
11447	I69.151	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right dominant side
11448	I69.152	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left dominant side
11449	I69.153	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11450	I69.154	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11451	I69.159	Hemiplegia and hemiparesis following nontraumatic intracerebral hemorrhage affecting unspecified side
11453	I69.161	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right dominant side
11454	I69.162	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left dominant side
11455	I69.163	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting right non-dominant side
11456	I69.164	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting left non-dominant side
11457	I69.165	"Other paralytic syndrome following nontraumatic intracerebral hemorrhage, bilateral"
11458	I69.169	Other paralytic syndrome following nontraumatic intracerebral hemorrhage affecting unspecified side
11460	I69.190	Apraxia following nontraumatic intracerebral hemorrhage
11461	I69.191	Dysphagia following nontraumatic intracerebral hemorrhage
11462	I69.192	Facial weakness following nontraumatic intracerebral hemorrhage
11463	I69.193	Ataxia following nontraumatic intracerebral hemorrhage
11464	I69.198	Other sequelae of nontraumatic intracerebral hemorrhage
11466	I69.20	Unspecified sequelae of other nontraumatic intracranial hemorrhage
11468	I69.210	Attention and concentration deficit following other nontraumatic intracranial hemorrhage
11469	I69.211	Memory deficit following other nontraumatic intracranial hemorrhage
11470	I69.212	Visuospatial deficit and spatial neglect following other nontraumatic intracranial hemorrhage
11471	I69.213	Psychomotor deficit following other nontraumatic intracranial hemorrhage
11472	I69.214	Frontal lobe and executive function deficit following other nontraumatic intracranial hemorrhage
11473	I69.215	Cognitive social or emotional deficit following other nontraumatic intracranial hemorrhage
11474	I69.218	Other symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
11475	I69.219	Unspecified symptoms and signs involving cognitive functions following other nontraumatic intracranial hemorrhage
11477	I69.220	Aphasia following other nontraumatic intracranial hemorrhage
11478	I69.221	Dysphasia following other nontraumatic intracranial hemorrhage
11479	I69.222	Dysarthria following other nontraumatic intracranial hemorrhage
11480	I69.223	Fluency disorder following other nontraumatic intracranial hemorrhage
11481	I69.228	Other speech and language deficits following other nontraumatic intracranial hemorrhage
11483	I69.231	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right dominant side
11484	I69.232	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left dominant side
11485	I69.233	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11486	I69.234	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11487	I69.239	Monoplegia of upper limb following other nontraumatic intracranial hemorrhage affecting unspecified side
11489	I69.241	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right dominant side
11490	I69.242	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left dominant side
11491	I69.243	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11492	I69.244	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11493	I69.249	Monoplegia of lower limb following other nontraumatic intracranial hemorrhage affecting unspecified side
11495	I69.251	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right dominant side
11496	I69.252	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left dominant side
11497	I69.253	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11498	I69.254	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11499	I69.259	Hemiplegia and hemiparesis following other nontraumatic intracranial hemorrhage affecting unspecified side
11501	I69.261	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right dominant side
11502	I69.262	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left dominant side
11503	I69.263	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting right non-dominant side
11504	I69.264	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting left non-dominant side
11505	I69.265	"Other paralytic syndrome following other nontraumatic intracranial hemorrhage, bilateral"
11506	I69.269	Other paralytic syndrome following other nontraumatic intracranial hemorrhage affecting unspecified side
11508	I69.290	Apraxia following other nontraumatic intracranial hemorrhage
11509	I69.291	Dysphagia following other nontraumatic intracranial hemorrhage
11510	I69.292	Facial weakness following other nontraumatic intracranial hemorrhage
11511	I69.293	Ataxia following other nontraumatic intracranial hemorrhage
11512	I69.298	Other sequelae of other nontraumatic intracranial hemorrhage
11514	I69.30	Unspecified sequelae of cerebral infarction
11516	I69.310	Attention and concentration deficit following cerebral infarction
11517	I69.311	Memory deficit following cerebral infarction
11518	I69.312	Visuospatial deficit and spatial neglect following cerebral infarction
11519	I69.313	Psychomotor deficit following cerebral infarction
11520	I69.314	Frontal lobe and executive function deficit following cerebral infarction
11521	I69.315	Cognitive social or emotional deficit following cerebral infarction
11522	I69.318	Other symptoms and signs involving cognitive functions following cerebral infarction
11523	I69.319	Unspecified symptoms and signs involving cognitive functions following cerebral infarction
11525	I69.320	Aphasia following cerebral infarction
11526	I69.321	Dysphasia following cerebral infarction
11527	I69.322	Dysarthria following cerebral infarction
11528	I69.323	Fluency disorder following cerebral infarction
11529	I69.328	Other speech and language deficits following cerebral infarction
11531	I69.331	Monoplegia of upper limb following cerebral infarction affecting right dominant side
11532	I69.332	Monoplegia of upper limb following cerebral infarction affecting left dominant side
11533	I69.333	Monoplegia of upper limb following cerebral infarction affecting right non-dominant side
11534	I69.334	Monoplegia of upper limb following cerebral infarction affecting left non-dominant side
11535	I69.339	Monoplegia of upper limb following cerebral infarction affecting unspecified side
11537	I69.341	Monoplegia of lower limb following cerebral infarction affecting right dominant side
11538	I69.342	Monoplegia of lower limb following cerebral infarction affecting left dominant side
11539	I69.343	Monoplegia of lower limb following cerebral infarction affecting right non-dominant side
11540	I69.344	Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
11541	I69.349	Monoplegia of lower limb following cerebral infarction affecting unspecified side
11543	I69.351	Hemiplegia and hemiparesis following cerebral infarction affecting right dominant side
11544	I69.352	Hemiplegia and hemiparesis following cerebral infarction affecting left dominant side
11545	I69.353	Hemiplegia and hemiparesis following cerebral infarction affecting right non-dominant side
11546	I69.354	Hemiplegia and hemiparesis following cerebral infarction affecting left non-dominant side
11547	I69.359	Hemiplegia and hemiparesis following cerebral infarction affecting unspecified side
11549	I69.361	Other paralytic syndrome following cerebral infarction affecting right dominant side
11550	I69.362	Other paralytic syndrome following cerebral infarction affecting left dominant side
11551	I69.363	Other paralytic syndrome following cerebral infarction affecting right non-dominant side
11552	I69.364	Other paralytic syndrome following cerebral infarction affecting left non-dominant side
11553	I69.365	"Other paralytic syndrome following cerebral infarction, bilateral"
11554	I69.369	Other paralytic syndrome following cerebral infarction affecting unspecified side
11556	I69.390	Apraxia following cerebral infarction
11557	I69.391	Dysphagia following cerebral infarction
11558	I69.392	Facial weakness following cerebral infarction
11559	I69.393	Ataxia following cerebral infarction
11560	I69.398	Other sequelae of cerebral infarction
11562	I69.80	Unspecified sequelae of other cerebrovascular disease
11564	I69.810	Attention and concentration deficit following other cerebrovascular disease
11565	I69.811	Memory deficit following other cerebrovascular disease
11566	I69.812	Visuospatial deficit and spatial neglect following other cerebrovascular disease
11567	I69.813	Psychomotor deficit following other cerebrovascular disease
11568	I69.814	Frontal lobe and executive function deficit following other cerebrovascular disease
11569	I69.815	Cognitive social or emotional deficit following other cerebrovascular disease
11570	I69.818	Other symptoms and signs involving cognitive functions following other cerebrovascular disease
11571	I69.819	Unspecified symptoms and signs involving cognitive functions following other cerebrovascular disease
11573	I69.820	Aphasia following other cerebrovascular disease
11574	I69.821	Dysphasia following other cerebrovascular disease
11575	I69.822	Dysarthria following other cerebrovascular disease
11576	I69.823	Fluency disorder following other cerebrovascular disease
11577	I69.828	Other speech and language deficits following other cerebrovascular disease
11579	I69.831	Monoplegia of upper limb following other cerebrovascular disease affecting right dominant side
11580	I69.832	Monoplegia of upper limb following other cerebrovascular disease affecting left dominant side
11581	I69.833	Monoplegia of upper limb following other cerebrovascular disease affecting right non-dominant side
11582	I69.834	Monoplegia of upper limb following other cerebrovascular disease affecting left non-dominant side
11583	I69.839	Monoplegia of upper limb following other cerebrovascular disease affecting unspecified side
11585	I69.841	Monoplegia of lower limb following other cerebrovascular disease affecting right dominant side
11586	I69.842	Monoplegia of lower limb following other cerebrovascular disease affecting left dominant side
11587	I69.843	Monoplegia of lower limb following other cerebrovascular disease affecting right non-dominant side
11588	I69.844	Monoplegia of lower limb following other cerebrovascular disease affecting left non-dominant side
11589	I69.849	Monoplegia of lower limb following other cerebrovascular disease affecting unspecified side
11591	I69.851	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right dominant side
11592	I69.852	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left dominant side
11593	I69.853	Hemiplegia and hemiparesis following other cerebrovascular disease affecting right non-dominant side
11594	I69.854	Hemiplegia and hemiparesis following other cerebrovascular disease affecting left non-dominant side
11595	I69.859	Hemiplegia and hemiparesis following other cerebrovascular disease affecting unspecified side
11597	I69.861	Other paralytic syndrome following other cerebrovascular disease affecting right dominant side
11598	I69.862	Other paralytic syndrome following other cerebrovascular disease affecting left dominant side
11599	I69.863	Other paralytic syndrome following other cerebrovascular disease affecting right non-dominant side
11600	I69.864	Other paralytic syndrome following other cerebrovascular disease affecting left non-dominant side
11601	I69.865	"Other paralytic syndrome following other cerebrovascular disease, bilateral"
11602	I69.869	Other paralytic syndrome following other cerebrovascular disease affecting unspecified side
11604	I69.890	Apraxia following other cerebrovascular disease
11605	I69.891	Dysphagia following other cerebrovascular disease
11606	I69.892	Facial weakness following other cerebrovascular disease
11607	I69.893	Ataxia following other cerebrovascular disease
11608	I69.898	Other sequelae of other cerebrovascular disease
11610	I69.90	Unspecified sequelae of unspecified cerebrovascular disease
11621	I69.920	Aphasia following unspecified cerebrovascular disease
11622	I69.921	Dysphasia following unspecified cerebrovascular disease
11623	I69.922	Dysarthria following unspecified cerebrovascular disease
11624	I69.923	Fluency disorder following unspecified cerebrovascular disease
11625	I69.928	Other speech and language deficits following unspecified cerebrovascular disease
11627	I69.931	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right dominant side
11628	I69.932	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left dominant side
11629	I69.933	Monoplegia of upper limb following unspecified cerebrovascular disease affecting right non-dominant side
11630	I69.934	Monoplegia of upper limb following unspecified cerebrovascular disease affecting left non-dominant side
11631	I69.939	Monoplegia of upper limb following unspecified cerebrovascular disease affecting unspecified side
11633	I69.941	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right dominant side
11634	I69.942	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left dominant side
11635	I69.943	Monoplegia of lower limb following unspecified cerebrovascular disease affecting right non-dominant side
11636	I69.944	Monoplegia of lower limb following unspecified cerebrovascular disease affecting left non-dominant side
11637	I69.949	Monoplegia of lower limb following unspecified cerebrovascular disease affecting unspecified side
11639	I69.951	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right dominant side
11640	I69.952	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left dominant side
11641	I69.953	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting right non-dominant side
11642	I69.954	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting left non-dominant side
11643	I69.959	Hemiplegia and hemiparesis following unspecified cerebrovascular disease affecting unspecified side
11645	I69.961	Other paralytic syndrome following unspecified cerebrovascular disease affecting right dominant side
