Order2018	Action	Code	Description
24362	Revise from	O09.10	"Supervision of pregnancy with history of ectopic or molar pregnancy, unspecified trimester"
24362	Revise to	O09.10	"Supervision of pregnancy with history of ectopic pregnancy, unspecified trimester"
24363	Revise from	O09.11	"Supervision of pregnancy with history of ectopic or molar pregnancy, first trimester"
24363	Revise to	O09.11	"Supervision of pregnancy with history of ectopic pregnancy, first trimester"
24364	Revise from	O09.12	"Supervision of pregnancy with history of ectopic or molar pregnancy, second trimester"
24364	Revise to	O09.12	"Supervision of pregnancy with history of ectopic pregnancy, second trimester"
24365	Revise from	O09.13	"Supervision of pregnancy with history of ectopic or molar pregnancy, third trimester"
24365	Revise to	O09.13	"Supervision of pregnancy with history of ectopic pregnancy, third trimester"
27045	Revise from	P00.1	Newborn (suspected to be) affected by maternal renal and urinary tract diseases
27045	Revise to	P00.1	Newborn affected by maternal renal and urinary tract diseases
28075	Revise from	Q64.12	Cloacal extrophy of urinary bladder
28075	Revise to	Q64.12	Cloacal exstrophy of urinary bladder
28386	Revise from	Q82.2	Mastocytosis
28386	Revise to	Q82.2	Congenital cutaneous mastocytosis
30773	Revise from	S04.031D	"Injury of optic tract and pathways, right eye, subsequent encounter"
30773	Revise to	S04.031D	"Injury of optic tract and pathways, right side, subsequent encounter"
30774	Revise from	S04.031S	"Injury of optic tract and pathways, right eye, sequela"
30774	Revise to	S04.031S	"Injury of optic tract and pathways, right side, sequela"
30777	Revise from	S04.032D	"Injury of optic tract and pathways, left eye, subsequent encounter"
30777	Revise to	S04.032D	"Injury of optic tract and pathways, left side, subsequent encounter"
30778	Revise from	S04.032S	"Injury of optic tract and pathways, left eye, sequela"
30778	Revise to	S04.032S	"Injury of optic tract and pathways, left side, sequela"
30781	Revise from	S04.039D	"Injury of optic tract and pathways, unspecified eye, subsequent encounter"
30781	Revise to	S04.039D	"Injury of optic tract and pathways, unspecified side, subsequent encounter"
30782	Revise from	S04.039S	"Injury of optic tract and pathways, unspecified eye, sequela"
30782	Revise to	S04.039S	"Injury of optic tract and pathways, unspecified side, sequela"
30786	Revise from	S04.041D	"Injury of visual cortex, right eye, subsequent encounter"
30786	Revise to	S04.041D	"Injury of visual cortex, right side, subsequent encounter"
30787	Revise from	S04.041S	"Injury of visual cortex, right eye, sequela"
30787	Revise to	S04.041S	"Injury of visual cortex, right side, sequela"
30790	Revise from	S04.042D	"Injury of visual cortex, left eye, subsequent encounter"
30790	Revise to	S04.042D	"Injury of visual cortex, left side, subsequent encounter"
30791	Revise from	S04.042S	"Injury of visual cortex, left eye, sequela"
30791	Revise to	S04.042S	"Injury of visual cortex, left side, sequela"
30794	Revise from	S04.049D	"Injury of visual cortex, unspecified eye, subsequent encounter"
30794	Revise to	S04.049D	"Injury of visual cortex, unspecified side, subsequent encounter"
30795	Revise from	S04.049S	"Injury of visual cortex, unspecified eye, sequela"
30795	Revise to	S04.049S	"Injury of visual cortex, unspecified side, sequela"
50283	Revise from	S62.311D	"Displaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with routine healing"
50283	Revise to	S62.311D	"Displaced fracture of base of second metacarpal bone, left hand, subsequent encounter for fracture with routine healing"
50284	Revise from	S62.311G	"Displaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with delayed healing"
50284	Revise to	S62.311G	"Displaced fracture of base of second metacarpal bone, left hand, subsequent encounter for fracture with delayed healing"
50285	Revise from	S62.311K	"Displaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with nonunion"
50285	Revise to	S62.311K	"Displaced fracture of base of second metacarpal bone, left hand, subsequent encounter for fracture with nonunion"
50286	Revise from	S62.311P	"Displaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with malunion"
50286	Revise to	S62.311P	"Displaced fracture of base of second metacarpal bone, left hand, subsequent encounter for fracture with malunion"
50287	Revise from	S62.311S	"Displaced fracture of base of second metacarpal bone. left hand, sequela"
50287	Revise to	S62.311S	"Displaced fracture of base of second metacarpal bone, left hand, sequela"
50331	Revise from	S62.317D	"Displaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with routine healing"
50331	Revise to	S62.317D	"Displaced fracture of base of fifth metacarpal bone, left hand, subsequent encounter for fracture with routine healing"
50332	Revise from	S62.317G	"Displaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with delayed healing"
50332	Revise to	S62.317G	"Displaced fracture of base of fifth metacarpal bone, left hand, subsequent encounter for fracture with delayed healing"
50333	Revise from	S62.317K	"Displaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with nonunion"
50333	Revise to	S62.317K	"Displaced fracture of base of fifth metacarpal bone, left hand, subsequent encounter for fracture with nonunion"
50334	Revise from	S62.317P	"Displaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with malunion"
50334	Revise to	S62.317P	"Displaced fracture of base of fifth metacarpal bone, left hand, subsequent encounter for fracture with malunion"
50335	Revise from	S62.317S	"Displaced fracture of base of fifth metacarpal bone. left hand, sequela"
50335	Revise to	S62.317S	"Displaced fracture of base of fifth metacarpal bone, left hand, sequela"
50526	Revise from	S62.341D	"Nondisplaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with routine healing"
50526	Revise to	S62.341D	"Nondisplaced fracture of base of second metacarpal bone, left hand, subsequent encounter for fracture with routine healing"
50527	Revise from	S62.341G	"Nondisplaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with delayed healing"
50527	Revise to	S62.341G	"Nondisplaced fracture of base of second metacarpal bone, left hand, subsequent encounter for fracture with delayed healing"
50528	Revise from	S62.341K	"Nondisplaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with nonunion"
50528	Revise to	S62.341K	"Nondisplaced fracture of base of second metacarpal bone, left hand, subsequent encounter for fracture with nonunion"
50529	Revise from	S62.341P	"Nondisplaced fracture of base of second metacarpal bone. left hand, subsequent encounter for fracture with malunion"
50529	Revise to	S62.341P	"Nondisplaced fracture of base of second metacarpal bone, left hand, subsequent encounter for fracture with malunion"
50530	Revise from	S62.341S	"Nondisplaced fracture of base of second metacarpal bone. left hand, sequela"
50530	Revise to	S62.341S	"Nondisplaced fracture of base of second metacarpal bone, left hand, sequela"
50574	Revise from	S62.347D	"Nondisplaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with routine healing"
50574	Revise to	S62.347D	"Nondisplaced fracture of base of fifth metacarpal bone, left hand, subsequent encounter for fracture with routine healing"
50575	Revise from	S62.347G	"Nondisplaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with delayed healing"
50575	Revise to	S62.347G	"Nondisplaced fracture of base of fifth metacarpal bone, left hand, subsequent encounter for fracture with delayed healing"
50576	Revise from	S62.347K	"Nondisplaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with nonunion"
50576	Revise to	S62.347K	"Nondisplaced fracture of base of fifth metacarpal bone, left hand, subsequent encounter for fracture with nonunion"
50577	Revise from	S62.347P	"Nondisplaced fracture of base of fifth metacarpal bone. left hand, subsequent encounter for fracture with malunion"
50577	Revise to	S62.347P	"Nondisplaced fracture of base of fifth metacarpal bone, left hand, subsequent encounter for fracture with malunion"
50578	Revise from	S62.347S	"Nondisplaced fracture of base of fifth metacarpal bone. left hand, sequela"
50578	Revise to	S62.347S	"Nondisplaced fracture of base of fifth metacarpal bone, left hand, sequela"
51129	Revise from	S62.620D	"Displaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with routine healing"
51129	Revise to	S62.620D	"Displaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with routine healing"
51130	Revise from	S62.620G	"Displaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with delayed healing"
51130	Revise to	S62.620G	"Displaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with delayed healing"
51131	Revise from	S62.620K	"Displaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with nonunion"
51131	Revise to	S62.620K	"Displaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with nonunion"
51132	Revise from	S62.620P	"Displaced fracture of medial phalanx of right index finger, subsequent encounter for fracture with malunion"
51132	Revise to	S62.620P	"Displaced fracture of middle phalanx of right index finger, subsequent encounter for fracture with malunion"
51133	Revise from	S62.620S	"Displaced fracture of medial phalanx of right index finger, sequela"
51133	Revise to	S62.620S	"Displaced fracture of middle phalanx of right index finger, sequela"
