icd9,icd9_description,icd10,icd10_description,approximate,combination,scenario,choice_list,no_map,label
0029,"Paratyphoid fever, unspecified",A014,"Paratyphoid fever, unspecified",0,0,0,0,0,exact
0030,Salmonella gastroenteritis,A020,Salmonella enteritis,0,0,0,0,0,exact
00324,Salmonella osteomyelitis,A0224,Salmonella osteomyelitis,0,0,0,0,0,exact
0038,Other specified salmonella infections,A028,Other specified salmonella infections,0,0,0,0,0,exact
0039,"Salmonella infection, unspecified",A029,"Salmonella infection, unspecified",0,0,0,0,0,exact
0040,Shigella dysenteriae,A030,Shigellosis due to Shigella dysenteriae,0,0,0,0,0,exact
0041,Shigella flexneri,A031,Shigellosis due to Shigella flexneri,0,0,0,0,0,exact
0043,Shigella sonnei,A033,Shigellosis due to Shigella sonnei,0,0,0,0,0,exact
0048,Other specified shigella infections,A038,Other shigellosis,0,0,0,0,0,exact
0049,"Shigellosis, unspecified",A039,"Shigellosis, unspecified",0,0,0,0,0,exact
0050,Staphylococcal food poisoning,A050,Foodborne staphylococcal intoxication,0,0,0,0,0,exact
00581,Food poisoning due to Vibrio vulnificus,A055,Foodborne Vibrio vulnificus intoxication,0,0,0,0,0,exact
0059,"Food poisoning, unspecified",A059,"Bacterial foodborne intoxication, unspecified",0,0,0,0,0,exact
0062,Amebic nondysenteric colitis,A062,Amebic nondysenteric colitis,0,0,0,0,0,exact
0069,"Amebiasis, unspecified",A069,"Amebiasis, unspecified",0,0,0,0,0,exact
0071,Giardiasis,A071,Giardiasis [lambliasis],0,0,0,0,0,exact
0074,Cryptosporidiosis,A072,Cryptosporidiosis,0,0,0,0,0,exact
00804,Intestinal infection due to enterohemorrhagic E. coli,A043,Enterohemorrhagic Escherichia coli infection,0,0,0,0,0,exact
00843,Intestinal infection due to campylobacter,A045,Campylobacter enteritis,0,0,0,0,0,exact
00844,Intestinal infection due to yersinia enterocolitica,A046,Enteritis due to Yersinia enterocolitica,0,0,0,0,0,exact
0085,"Bacterial enteritis, unspecified",A049,"Bacterial intestinal infection, unspecified",0,0,0,0,0,exact
00861,Enteritis due to rotavirus,A080,Rotaviral enteritis,0,0,0,0,0,exact
00862,Enteritis due to adenovirus,A082,Adenoviral enteritis,0,0,0,0,0,exact
0239,"Brucellosis, unspecified",A239,"Brucellosis, unspecified",0,0,0,0,0,exact
0272,Pasteurellosis,A280,Pasteurellosis,0,0,0,0,0,exact
0279,Unspecified zoonotic bacterial disease,A289,"Zoonotic bacterial disease, unspecified",0,0,0,0,0,exact
0309,"Leprosy, unspecified",A309,"Leprosy, unspecified",0,0,0,0,0,exact
0310,Pulmonary diseases due to other mycobacteria,A310,Pulmonary mycobacterial infection,0,0,0,0,0,exact
0311,Cutaneous diseases due to other mycobacteria,A311,Cutaneous mycobacterial infection,0,0,0,0,0,exact
0312,Disseminated due to other mycobacteria,A312,Disseminated mycobacterium avium-intracellulare complex (DMAC),0,0,0,0,0,exact
0318,Other specified mycobacterial diseases,A318,Other mycobacterial infections,0,0,0,0,0,exact
0319,Unspecified diseases due to mycobacteria,A319,"Mycobacterial infection, unspecified",0,0,0,0,0,exact
03284,Diphtheritic cystitis,A3685,Diphtheritic cystitis,0,0,0,0,0,exact
03285,Cutaneous diphtheria,A363,Cutaneous diphtheria,0,0,0,0,0,exact
0329,"Diphtheria, unspecified",A369,"Diphtheria, unspecified",0,0,0,0,0,exact
035,Erysipelas,A46,Erysipelas,0,0,0,0,0,exact
0360,Meningococcal meningitis,A390,Meningococcal meningitis,0,0,0,0,0,exact
0361,Meningococcal encephalitis,A3981,Meningococcal encephalitis,0,0,0,0,0,exact
0392,Abdominal actinomycotic infection,A421,Abdominal actinomycosis,0,0,0,0,0,exact
0393,Cervicofacial actinomycotic infection,A422,Cervicofacial actinomycosis,0,0,0,0,0,exact
0400,Gas gangrene,A480,Gas gangrene,0,0,0,0,0,exact
04082,Toxic shock syndrome,A483,Toxic shock syndrome,0,0,0,0,0,exact
04101,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group A",B950,"Streptococcus, group A, as the cause of diseases classified elsewhere",0,0,0,0,0,exact
04102,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group B",B951,"Streptococcus, group B, as the cause of diseases classified elsewhere",0,0,0,0,0,exact
04104,"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]",B952,Enterococcus as the cause of diseases classified elsewhere,0,0,0,0,0,exact
0413,Friedländer's bacillus infection in conditions classified elsewhere and of unspecified site,B961,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,0,0,0,0,0,exact
0416,Proteus (mirabilis) (morganii) infection in conditions classified elsewhere and of unspecified site,B964,Proteus (mirabilis) (morganii) as the cause of diseases classified elsewhere,0,0,0,0,0,exact
0417,Pseudomonas infection in conditions classified elsewhere and of unspecified site,B965,Pseudomonas (aeruginosa) (mallei) (pseudomallei) as the cause of diseases classified elsewhere,0,0,0,0,0,exact
04182,Bacteroides fragilis,B966,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere,0,0,0,0,0,exact
04186,Helicobacter pylori [H. pylori],B9681,Helicobacter pylori [H. pylori] as the cause of diseases classified elsewhere,0,0,0,0,0,exact
042,Human immunodeficiency virus [HIV] disease,B20,Human immunodeficiency virus [HIV] disease,0,0,0,0,0,exact
04671,Gerstmann-Sträussler-Scheinker syndrome,A8182,Gerstmann-Straussler-Scheinker syndrome,0,0,0,0,0,exact
04672,Fatal familial insomnia,A8183,Fatal familial insomnia,0,0,0,0,0,exact
0490,Lymphocytic choriomeningitis,A872,Lymphocytic choriomeningitis,0,0,0,0,0,exact
0491,Meningitis due to adenovirus,A871,Adenoviral meningitis,0,0,0,0,0,exact
0521,Varicella (hemorrhagic) pneumonitis,B012,Varicella pneumonia,0,0,0,0,0,exact
0522,Postvaricella myelitis,B0112,Varicella myelitis,0,0,0,0,0,exact
0529,Varicella without mention of complication,B019,Varicella without complication,0,0,0,0,0,exact
0530,Herpes zoster with meningitis,B021,Zoster meningitis,0,0,0,0,0,exact
05311,Geniculate herpes zoster,B0221,Postherpetic geniculate ganglionitis,0,0,0,0,0,exact
05312,Postherpetic trigeminal neuralgia,B0222,Postherpetic trigeminal neuralgia,0,0,0,0,0,exact
05313,Postherpetic polyneuropathy,B0223,Postherpetic polyneuropathy,0,0,0,0,0,exact
