icd9,icd9_description,icd10,icd10_description,approximate,combination,scenario,choice_list,no_map
0414,Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157,B96,Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157 as the cause of diseases classified elsewhere,0,0,0,0,0
1730,Unspecified malignant neoplasm of skin of lip,C44,Unspecified malignant neoplasm of skin of lip,0,0,0,0,0
1731,"Unspecified malignant neoplasm of eyelid, including canthus",C44,"Unspecified malignant neoplasm of skin of unspecified eyelid, including canthus",1,0,0,0,0
1732,Unspecified malignant neoplasm of skin of ear and external auditory canal,C44,Unspecified malignant neoplasm of skin of unspecified ear and external auricular canal,1,0,0,0,0
1733,Unspecified malignant neoplasm of skin of other and unspecified parts of face,C44,Unspecified malignant neoplasm of skin of unspecified part of face,1,0,0,0,0
1734,Unspecified malignant neoplasm of scalp and skin of neck,C44,Unspecified malignant neoplasm of skin of scalp and neck,0,0,0,0,0
1735,"Unspecified malignant neoplasm of skin of trunk, except scrotum",C44,Unspecified malignant neoplasm of anal skin,1,0,0,0,0
1736,"Unspecified malignant neoplasm of skin of upper limb, including shoulder",C44,"Unspecified malignant neoplasm of skin of unspecified upper limb, including shoulder",1,0,0,0,0
1737,"Unspecified malignant neoplasm of skin of lower limb, including hip",C44,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",1,0,0,0,0
1738,Unspecified malignant neoplasm of other specified sites of skin,C44,Unspecified malignant neoplasm of overlapping sites of skin,1,0,0,0,0
1739,"Unspecified malignant neoplasm of skin, site unspecified",C44,"Unspecified malignant neoplasm of skin, unspecified",0,0,0,0,0
2398,"Neoplasms of unspecified nature, retina and choroid",D49,Neoplasm of unspecified behavior of retina and choroid,0,0,0,0,0
2740,"Gouty arthropathy, unspecified",M10,"Idiopathic gout, unspecified site",1,0,0,0,0
2750,Hereditary hemochromatosis,E83,Hereditary hemochromatosis,0,0,0,0,0
2766,Transfusion associated circulatory overload,E87,Transfusion associated circulatory overload,0,0,0,0,0
2794,Autoimmune lymphoproliferative syndrome,D89,Autoimmune lymphoproliferative syndrome [ALPS],0,0,0,0,0
2841,Antineoplastic chemotherapy induced pancytopenia,D61,Antineoplastic chemotherapy induced pancytopenia,0,0,0,0,0
2865,Acquired hemophilia,D68,Acquired hemophilia,0,0,0,0,0
2874,Posttransfusion purpura,D69,Posttransfusion purpura,0,0,0,0,0
2880,"Neutropenia, unspecified",D70,"Neutropenia, unspecified",0,0,0,0,0
3108,Pseudobulbar affect,F48,Pseudobulbar affect,0,0,0,0,0
3370,"Idiopathic peripheral autonomic neuropathy, unspecified",G90,Other idiopathic peripheral autonomic neuropathy,1,0,0,0,0
3488,Temporal sclerosis,G93,Temporal sclerosis,0,0,0,0,0
