original_values,clean,numric
___,___,
NONE,NONE,
NEG,NEGATIVE,
OCC,OCCASIONAL,
LGE,LARGE,
0-2,1,1.0
6-10,8,8.0
Clear,CLEAR,
Yellow,YELLOW,
FEW,FEW,
MOD,MODERATE,
TR,TRACE,
SM,SMALL,
NORMAL,NORMAL,
ORANGE,ORANGE,
3-5,4,4.0
RARE,RARE,
Straw,STRAW,
11-20,15,15.0
POS,POSITIVE,
SENT,SENT,
<1,0.8,0.8
LG,LARGE,
MANY,MANY,
Slcldy,CLOUDY,
RED,RED,
D,D,
CLOUDY,CLOUDY,
NEGATIVE,NEGATIVE,
SlHazy,HAZY,
>50,55,55.0
Cloudy,CLOUDY,
Hazy,HAZY,
36.7 C,36.7,36.7
37.1 C,37.1,37.1
Amber,AMBER,
>1.035,1.05,1.05
Brown,BROWN,
>300,330,330.0
21-50,35,35.0
10-40,20,20.0
>=300,310,310.0
Red,RED,
DKAMBER,AMBER,
YELLOW,YELLOW,
AMBER,AMBER,
Orange,ORANGE,
Pink,PINK,
DKAMB,AMBER,
>=1.035,1.04,1.04
0-10,5,5.0
INTRAC,INTRA,
NEEDLE,NEEDLE,
DKYELLOW,YELLOW,
STRAW,STRAW,
SMALL,SMALL,
LARGE,LARGE,
TRACE,TRACE,
>1.030,1.04,1.04
DLAMB,AMBER,
>1000,1.100,1.1
I/E,INTERNAL AND EXTERNAL,
RHOMBOID,RHOMBOID,
37.2 C,37.2,37.2
DKMB,AMBER,
40-80,60,60.0
<1.005,1.01,1.01
BROWN,BROWN,
DkAmb,AMBER,
LtAmb,AMBER,
PINK,PINK,
AMB,RED,
37 C,37,37.0
HAZY,HAZY,
BODERLINE POSITIVE BY DRVVT,POSITIVE,
SLHAZY,HAZY,
POSITIVE,POSITIVE,
NEGATIVE FOR INTRA/EXTRA CELLULAR PARASITE,NEGATIVE,
SLCLOUDY,CLOUDY,
NEGATIVE FOR THIN AND THICK SMEAR,NEGATIVE,
NEGATIVE FOR THIN AND THICK,NEGATIVE,
CLEAR,CLEAR,
NEGTAIVE,NEGATIVE,
MD,MODERATE,
YEL,YELLOW,
NEATIVE FOR INTRA OR EXTRACELLULAR FORMS,NEGATIVE,
NEG.,NEGATIVE,
1.3% PARISITEMIA,POSITIVE,
NEGATIVE FOR INTRACELLULAR AND EXTRACELLULAR PARASITES,NEGATIVE,
0-2 COARSE GRANULAR CASTS,1,1.0
POSITIVE 1.9,POSITIVE,
0--2,1,1.0
NEGATIVE FOR INTRA AND EXTRACELLULAR FORMS,NEGATIVE,
PRESENT,POSITIVE,
NEGATIVE FOR INTRA OR EXTRACELLULAR FORMS,NEGATIVE,
LTBROWN,BROWN,
NEGATIVE THIN AND THICK SMEAR REVIEWED,NEGATIVE,
O-2,1,1.0
NEGATOVE FOR INTRA AND EXTRACELLULAR FORMS,NEGATIVE,
NEGAITIVE,NEGATIVE,
3-53O,4,4.0
0-2+,1,1.0
MOD-,MODERATE,
0-2 COARSE & FINE GRANULAR CASTS,1,1.0
OCCAS,OCCASIONAL,
POTIVE,POSITIVE,
NEGATIVE FOR THICK SMEAR,NEGATIVE,
NEGATIVE THICK SMEAR,NEGATIVE,
POSTIVE,POSITIVE,
MODERATE,MODERATE,
AM,RED,
DKAM,AMBER,
"NEGATIVE, THIN AND THICK SMEAR REVIEWED",NEGATIVE,
DKBROWN,BROWN,
3-5 COARSE GRANULAR CASTS,4,4.0
3-5 OCC CLUMP,4,4.0
NEGATIV,NEGATIVE,
DRKAMBER,AMBER,
MO,MODERATE,
RE,RED,
BRO,BROWN,
LTAMB,AMBER,
DAMBER,AMBER,
LTAMBER,AMBER,
TRICHOMONAS PRESENT,POSITIVE,
CLO,CLOUDY,
REDD,RED,
POSITVE,POSITIVE,
0-2 3-5,1,1.0
NEGATIVE THICK SMEAR REVIEW,NEGATIVE,
NEG FOR THICK SMEAR,NEGATIVE,
DARKAMBER,AMBER,
NOTDET,NEGATIVE,
>1.035€,1.05,1.05
NEGATATIVE,NEGATIVE,
6-10 COARSE GRANULAR CASTS,8,8.0
UELLOW,YELLOW,
DYELLOW,YELLOW,
"NEGATIVE""THIN AND THICK SMEARS REVIEWD""""IF HIGH CLININCAL SUSPICION OF MALARIA",NEGATIVE,
POS.,POSITIVE,
5.1% PARASETEMIA,POSITIVE,
YELLO,YELLOW,
NEGARIVE,NEGATIVE,
.0-2,1,1.0
"0-2,COARSE",1,1.0
4% PARASITIMIA,POSITIVE,
FEW',FEW,
CL,CLOUDY,
POS FOR INTRA AND EXTRACELLULAR FORMS,POSITIVE,
0-2 FINE GRANULAR CASTS,1,1.0
OCC SODIUM URATE CRYSTALS,OCCASIONAL,
THICK SMEAR REVIEW NEGATIVE,NEGATIVE,
ORAN,ORANGE,
NEGATIVE FOR INTRA AND EXTRA CELLULAR PARASITES,NEGATIVE,
FEW SODIUM URATE CRYSTALS,FEW,
NEGATIVE FOR INTRA SND EXTRACELLULAR FORMS,NEGATIVE,
0.-2,1,1.0
NEGATIVE FOR INTRA AND EXTRACELLULARFORMS,NEGATIVE,
7.4% PARASITEMIA,POSITIVE,
4.9 PARASITEMIA,POSITIVE,
POSITIVE FOR INTACELLULAR,POSITIVE,
BROW,BROWN,
NEGATIVE FOR THICK AND THIN SMEAR,NEGATIVE,
NEGATIVE FOR INTRACELLULAR AND EXTRACELLULAR FORMS,NEGATIVE,
NEGATIVE FOR THICK SMEAR REVIEW,NEGATIVE,
POSTITIVE,POSITIVE,
NEGATIVE FOR INTRA/EXTRA CELLULAR FORMS,NEGATIVE,
"NEG FOR INTRA AND EXTRA CELLULAR FORMS, THICK AND THIN SMEARS REVIEWED",NEGATIVE,
3-5 FINE GRANULAR CASTS,4,4.0
DKYEL,YELLOW,
NORAML,NORMAL,
DKA,AMBER,
KDAMB,AMBER,
0-2\,1,1.0
CLOU,CLOUDY,
0=2,1,1.0
NEGATIVE FOR INTRA OR EXTRACELLULAR FORMS ON THIN SMEAR REVIEW,NEGATIVE,
0.2% PARASITEMIA,POSITIVE,
NEGATIVE THIN AND THICK SMEARS REVIEWED,NEGATIVE,
DRAMB,AMBER,
NEGATIVE THICK SMEAR REVIEWED,NEGATIVE,
NEGATIVE FOR INTRA AND EXRACELLULAR FORMS,NEGATIVE,
>1.035 REFRA,1.05,1.05
THICK SMEAR NEGATIVE,NEGATIVE,
NEGAVITE,NEGATIVE,
NEGATVIE,NEGATIVE,
3-,4,4.0
NEGATIVE THIN AND THICK SMEAR REVIWED,NEGATIVE,
YRLLOW,YELLOW,
HEGATIVE,NEGATIVE,
SLCLDY,CLOUDY,
NEG FOR THE PRESENCE OF MICROFILARIAE,NEGATIVE,
NEGATIVE FOR THE PRRESENCE OF MICROFILARIAE,NEGATIVE,
0.9% PARASITEMIA,POSITIVE,
BORDERLINE POSITIVE FOR PT MIXING STUDY,POSITIVE,
NOTDETECTED,NEGATIVE,
ANBER,RED,
NEGATIVE FOT THICK SMEAR,NEGATIVE,
POSITI?VE,POSITIVE,
NEHATIVE,NEGATIVE,
6--10,8,8.0
0-2COARSE,1,1.0
MEGATIVE,NEGATIVE,
NEGATIVE FOR THIN AND THICK SMEARS,NEGATIVE,
HA,HAZY,
3-5-,4,4.0
OCC SMALL CLUMPS,OCCASIONAL,
NEGATIVE THIN AND THICK SMEAR REVIEW,NEGATIVE,
0.5% PARASITEMIA,POSITIVE,
REP,RED,
NEGATIVE THICK AND THIN SMEAR,NEGATIVE,
