original_name,clean,counts
,UNK,0
 (Uptravi)selexipag,(uptravi)selexipag,18
 *NF* Fiasp (aspart) FlexTouch U-100 Insulin ,fiasp (aspart) flextouch u-100 insulin,38
 Adcirca (tadalafil),adcirca (tadalafil),19
 Autologus Serum Eye Drops 20%,autologus serum 20%,19
 CoQ10 (300mg),coq10 (300mg),13
 Endocet *NF* (oxyCODONE-acetaminophen) 1/2 TAB ,endocet (oxycodone-acetaminophen) 1/2,37
 Enzalutamide (Xtandi),enzalutamide (xtandi),21
 Erlotinib,erlotinib,9
 Januvia (SITagliptin) 25mg Tab,januvia (sitagliptin) 25mg,26
 L-Citrulline,l-citrulline,12
 Legalon ,legalon,7
 Levemir Insulin,levemir insulin,15
 Movantik (naloxegol),movantik (naloxegol),20
 N-Acetylcysteine (NAC),n-acetylcysteine (nac),22
 Oxymorphone (Opana ER),oxymorphone (opana er),22
 Power C  Vitamin C (Ascorbic Acid),power c vitamin c (ascorbic acid),33
 Sarilumab 400mg/200mg,sarilumab 400mg/200mg,21
 Symbicort,symbicort,9
 Thaimine,thaimine,8
 Tresiba U-100 30 Units,tresiba u-100 30 units,22
 ketamine 5%/ lidocaine 5% / amit 2%,ketamine 5%/lidocaine 5%/amit 2%,32
(0.9% BACL 100ml),(0.9% bacl 100ml),17
(0.9% NACL 100mL),(0.9% nacl 100ml),17
(0.9% NACL 100ml),(0.9% nacl 100ml),17
(0.9% NaCL 100 ML),(0.9% nacl 100ml),17
(0.9% NaCl 100 mL),(0.9% nacl 100ml),17
(0.9% NaCl 100mL),(0.9% nacl 100ml),17
(0.9%NACL),(0.9%nacl),10
(Apri)  (desogestrel-ethinyl estradiol),(apri) (desogestrel-ethinyl estradiol),38
(Celebrate) Calcium Citrate + D,(celebrate) calcium citrate + d,31
*N F  Pantoprazole,pantoprazole,12
*NF,UNK,0
*NF* ADDerall,adderall,8
*NF* ADDerall XR,adderall xr,11
*NF* Anastrozole,anastrozole,11
*NF* Aspirin-Acetaminophen-Caffeine,aspirin-acetaminophen-caffeine,30
*NF* Beclomethasone Dipro 80 mcg Inh,beclomethasone dipro 80 mcg,27
*NF* Benazepril,benazepril,10
*NF* Bicalutamide,bicalutamide,12
*NF* Bimatoprost  0.03%  Ophth,bimatoprost 0.03%,17
*NF* Budesonide,budesonide,10
*NF* Budesonide Neb Solution,budesonide neb,14
*NF* Butorphanol Tart. Nasal,butorphanol tart.,17
*NF* Calcium Citrate-Vitamin D3,calcium citrate-vitamin d3,26
*NF* Capecitabine,capecitabine,12
*NF* Carbidopa-Levodopa (25-100),carbidopa-levodopa (25-100),27
*NF* Celecoxib,celecoxib,9
*NF* Cetirizine,cetirizine,10
*NF* Cilostazol,cilostazol,10
*NF* Creon 24,creon 24,8
*NF* Cromolyn Sodium Oral Solution,cromolyn sodium,15
*NF* Cyclosporine 0.05% Ophth,cyclosporine 0.05%,18
*NF* Dasatinib,dasatinib,9
*NF* Deferasirox,deferasirox,11
*NF* Diltiazem SR,diltiazem sr,12
*NF* Dornase Alfa Inh. Soln.,dornase alfa . .,16
*NF* Econazole Nitrate 1% Cream,econazole nitrate 1%,20
*NF* Entacapone,entacapone,10
*NF* Erlotinib,erlotinib,9
*NF* Erlotinib 150mg tab,erlotinib 150mg,15
*NF* Esomeprazole,esomeprazole,12
*NF* Estraderm,estraderm,9
*NF* Estradiol Transdermal Patch,estradiol transdermal patch,27
*NF* Exemestane,exemestane,10
*NF* Famciclovir,famciclovir,11
*NF* Fenofibrate,fenofibrate,11
*NF* Fenofibrate ,fenofibrate,11
*NF* Fluticasone Propionate,fluticasone propionate,22
*NF* Guaifenesin LA,guaifenesin la,14
*NF* Halcion,halcion,7
*NF* Imatinib Mesylate,imatinib mesylate,17
*NF* Insulin Reg Human (NovoLIN R),insulin reg (novolin r),23
*NF* Irbesartan,irbesartan,10
*NF* Ketorolac 0.5% Ophth Soln,ketorolac 0.5%,14
*NF* Leflunomide,leflunomide,11
*NF* Levalbuterol Neb,levalbuterol neb,16
*NF* Levalbuterol Soln,levalbuterol,12
*NF* Nilotinib,nilotinib,9
*NF* Nitazoxanide,nitazoxanide,12
*NF* Olmesartan Medoxomil,olmesartan medoxomil,20
*NF* Omeprazole,omeprazole,10
*NF* Pegfilgrastim,pegfilgrastim,13
*NF* Permethrin 5% Cream,permethrin 5%,13
*NF* Pletal,pletal,6
*NF* Polyethylene Glycol,polyethylene glycol,19
*NF* Pramipexole,pramipexole,11
*NF* Pregabalin,pregabalin,10
*NF* Ranolazine ER,ranolazine er,13
*NF* Rasagiline,rasagiline,10
*NF* Renacidin Soln,renacidin,9
*NF* Rilpivirine,rilpivirine,11
*NF* Rufinamide,rufinamide,10
*NF* SORAfenib,sorafenib,9
*NF* Solifenacin,solifenacin,11
*NF* Sorafenib,sorafenib,9
*NF* Sunitinib,sunitinib,9
*NF* Tacrolimus (Extended Release),tacrolimus (extended release),29
*NF* Tacrolimus 0.03% Ointment,tacrolimus 0.03%,16
*NF* Tacrolimus 0.1% Ointment,tacrolimus 0.1%,15
*NF* Temozolomide,temozolomide,12
*NF* Testosterone Gel 1% (25 mg),testosterone gel 1% (25mg),26
*NF* Testosterone Gel 1% (50 mg),testosterone gel 1% (50mg),26
*NF* Tolcapone,tolcapone,9
